;Name;Products;PT;PS;PM;TM;SM;Machines;Connections;AC;States;Transitions;A* Expansions;A* Steps;A* Time (s);A* Cost;Dijkstra Expansions;Dijkstra Steps;Dijkstra Time (s);Dijkstra Cost;NSGA2 Steps;NSGA2 Trials;NSGA2 Time (s);NSGA2 Time per Trial (s);NSGA2 Cost;NSGA2 - A* Cost;NSGA2 / A* Cost;RL DQN Steps;RL DQN Time (s);RL DQN Cost;RL DQN - A* Cost;RL DQN / A* Cost
10;13 Tasks;1;13;6;6;1;1;8;42;68;57344;446464;3576;17;12.688822746276855;0.49295668765165235;43007;17;140.1654908657074;0.4929566876516523;20;3;480.9530236721039;160.31767455736795;0.5252768456837983;0.03232015803214594;1.0655638899760398;17;335.57335901260376;0.49488972911583384;0.0019330414641814953;1.003921321107114
11;14 Tasks;1;14;6;6;1;1;8;42;70;114688;909312;5103;18;19.521242380142212;0.4883299418248096;86015;18;300.08260846138;0.48832994182480954;21;3;506.2251317501068;168.74171058336893;0.55450898699579;0.06617904517098039;1.135521170222903;19;366.64199447631836;0.5033817781891321;0.015051836364322502;1.0308230871694581
12;15 Tasks;1;15;6;6;1;1;8;42;72;229376;1851392;7939;19;27.560033321380615;0.4821422674503041;0;0;0.0;0.0;26;3;521.7681927680969;173.92273092269897;0.5933886931443513;0.11124642569404719;1.2307336095678725;19;393.7949552536011;0.4918693676586547;0.009727100208350603;1.0201747510331134
13;16 Tasks;1;16;6;6;1;1;8;42;74;458752;3768320;14339;20;50.906144857406616;0.4738384384333763;0;0;0.0;0.0;32;3;564.5656499862671;188.18854999542236;0.6369237909273641;0.16308535249398776;1.3441792376177566;21;420.87926959991455;0.4752324944965879;0.0013940560632115795;1.0029420493361
14;17 Tasks;1;17;6;6;1;1;8;42;76;917504;7667712;20446;21;74.27839231491089;0.47961638302817194;0;0;0.0;0.0;33;3;552.4614863395691;184.15382877985635;0.6084873722124555;0.12887098918428358;1.268695969830359;21;447.05068159103394;0.4801453714637133;0.0005289884355413332;1.0011029407131622
15;18 Tasks;1;18;6;6;1;1;8;42;78;1835008;15597568;31781;22;118.98881125450134;0.47487164723273284;0;0;0.0;0.0;30;3;569.4957525730133;189.83191752433777;0.5767571384303569;0.10188549119762408;1.2145537468731848;22;483.7525622844696;0.4829819977864818;0.00811035055374898;1.0170790372535636
16;19 Tasks;1;19;6;6;1;1;8;42;80;3670016;-1;57345;23;223.67424511909485;0.4681972828438759;0;0;0.0;0.0;33;3;580.6186954975128;193.53956516583762;0.5710312178953283;0.10283393505145239;1.2196380432343157;23;511.11800503730774;0.4751737286064115;0.006976445762535588;1.0149006541006815
17;20 Tasks;1;20;6;6;1;1;8;42;82;7340032;-1;82095;24;334.34914684295654;0.4637178136791867;0;0;0.0;0.0;33;3;595.2091767787933;198.40305892626444;0.554888251880914;0.09117043820172727;1.1966075822672657;24;539.9418754577637;0.47913538860906035;0.015417574929873668;1.033247752135181
18;21 Tasks;1;21;6;6;1;1;8;42;84;14680064;-1;127197;25;549.7790024280548;0.46001895029873185;0;0;0.0;0.0;41;3;610.6444272994995;203.5481424331665;0.6456726033047344;0.18565365300600256;1.403578271906931;25;557.3766915798187;0.46648312094703726;0.006464170648305401;1.0140519659985912
19;22 Tasks;1;22;6;6;1;1;8;42;86;29360128;-1;229993;26;1117.598397731781;0.4543397404987366;0;0;0.0;0.0;42;3;626.7535817623138;208.91786058743796;0.6262269726660767;0.17188723216734014;1.3783231288080953;27;591.9306466579437;0.46227978795424446;0.00794004745550786;1.0174760135373409
20;23 Tasks;1;23;6;6;1;1;8;42;88;58720256;-1;328282;27;1779.5249373912811;0.45075432232386475;0;0;0.0;0.0;44;3;643.8299655914307;214.6099885304769;0.6181675562688678;0.16741323394500301;1.371406829959841;28;624.6737260818481;0.45220235425087035;0.0014480319270055997;1.0032124637641637
21;24 Tasks;1;24;6;6;1;1;8;42;90;117440512;-1;507900;28;3285.9760406017303;0.44781142150159586;0;0;0.0;0.0;44;3;668.4398684501648;222.81328948338827;0.6273122004859877;0.17950077898439182;1.4008401089514242;28;651.9763281345367;0.4489811164000219;0.0011696948984260547;1.0026120256033306
22;25 Tasks;1;25;6;6;1;1;8;42;92;234881024;-1;918337;29;8172.023602724075;0.44288846057199205;0;0;0.0;0.0;45;3;687.6682679653168;229.22275598843893;0.5849995907390558;0.14211113016706378;1.320873409037406;32;672.5901877880096;0.45236185807299345;0.009473397501001402;1.0213900300964411
23;26 Tasks;1;26;6;6;1;1;8;42;94;469762048;-1;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;;30;725.3353791236877;0.4406849734606625;0.0;
24;27 Tasks;1;27;6;6;1;1;8;42;96;939524096;-1;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;;31;709.8583452701569;0.43989728912818793;0.0;
25;28 Tasks;1;28;6;6;1;1;8;42;98;1879048192;-1;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;;34;680.8942017555237;0.4513248480021883;0.0;
